Product,Lens_Design,Rx_Type,Frame_Type_Plus,Frame_Type_Minus,Index,,Clear_Photo_Tint_Pol,Extra_Note,,Uv_400_Rm,Blf_Rm,,Intro,Spacer,Description1,Description2,Description3
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.5,1.5 index is a basic density material.,Tint,Any Colour,Can be tinted to any colour.,1100,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,1.5 index is a basic density material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.5,1.5 index is a basic density material.,Clear,-,Clear transparent lenses.,900,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,1.5 index is a basic density material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.5,1.5 index is a basic density material.,Pol,Grey,Polarize available in grey colour.,1100,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Polarize available in grey colour.,1.5 index is a basic density material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Tint,Any Colour,Can be tinted to any colour.,1200,1400,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,1.56 index is a slightly thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,1100,1400,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Changes to grey in the sun and back to clear when indoor.,1.56 index is a slightly thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Photo,"Grey, Brown, Green, Pink, Blue","Changes to grey, brown, green, pink or blue in the sun and back to clear when indoor.",-,1600,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,"Changes to grey, brown, green, pink or blue in the sun and back to clear when indoor.",1.56 index is a slightly thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Clear,-,Clear transparent lenses.,1000,1200,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,1.56 index is a slightly thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Tint,Any Colour,Can be tinted to any colour.,1300,1500,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,1.6 index is a thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,1700,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Changes to grey in the sun and back to clear when indoor.,1.6 index is a thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Clear,-,Clear transparent lenses.,1100,1300,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,1.6 index is a thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Pol,Grey,Polarize available in grey colour.,1400,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Polarize available in grey colour.,1.6 index is a thinner material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Tint,Any Colour,Can be tinted to any colour.,1700,1800,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,1.67 index is an ultra thin material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,2300,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Changes to grey in the sun and back to clear when indoor.,1.67 index is an ultra thin material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Clear,-,Clear transparent lenses.,1500,1600,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,1.67 index is an ultra thin material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Pol,Grey,Polarize available in grey colour.,1900,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Polarize available in grey colour.,1.67 index is an ultra thin material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.74,1.74 index is the thinnest material.,Tint,Any Colour,Can be tinted to any colour.,2600,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,1.74 index is the thinnest material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.74,1.74 index is the thinnest material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,3100,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Changes to grey in the sun and back to clear when indoor.,1.74 index is the thinnest material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.74,1.74 index is the thinnest material.,Clear,-,Clear transparent lenses.,2400,2500,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,1.74 index is the thinnest material.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Polycarb,Polycarb is a thin material that does not break easily.,Tint,Any Colour,Can be tinted to any colour.,1500,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,Polycarb is a thin material that does not break easily.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Polycarb,Polycarb is a thin material that does not break easily.,Clear,-,Clear transparent lenses.,1300,1500,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,Polycarb is a thin material that does not break easily.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Trivex,Trivex is a material that does not break easily.,Tint,Any Colour,Can be tinted to any colour.,1400,-,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Can be tinted to any colour.,Trivex is a material that does not break easily.
Digital Relax Progressive Vision,Custom DR,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",Trivex,Trivex is a material that does not break easily.,Clear,-,Clear transparent lenses.,1200,1400,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,These lenses are, ,Progressive lenses that are designed to relieve headaches and eye strains from using digital devices,Clear transparent lenses.,Trivex is a material that does not break easily.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.5,1.5 index is a basic density material.,Tint,Any Colour,Can be tinted to any colour.,1800,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,1.5 index is a basic density material.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.5,1.5 index is a basic density material.,Clear,-,Clear transparent lenses.,1600,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,1.5 index is a basic density material.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.5,1.5 index is a basic density material.,Pol,Grey,Polarize available in grey colour.,1800,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Polarize available in grey colour.,1.5 index is a basic density material.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Tint,Any Colour,Can be tinted to any colour.,1900,2000,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,1.56 index is a slightly thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,1800,2100,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Changes to grey in the sun and back to clear when indoor.,1.56 index is a slightly thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Photo,"Grey, Brown, Green, Pink, Blue","Changes to grey, brown, green, pink or blue in the sun and back to clear when indoor.",-,2300,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,"Changes to grey, brown, green, pink or blue in the sun and back to clear when indoor.",1.56 index is a slightly thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus",Full Only,Full Only,1.56,1.56 index is a slightly thinner material.,Clear,-,Clear transparent lenses.,1700,1800,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,1.56 index is a slightly thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Tint,Any Colour,Can be tinted to any colour.,2000,2100,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,1.6 index is a thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,2400,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Changes to grey in the sun and back to clear when indoor.,1.6 index is a thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Clear,-,Clear transparent lenses.,1800,1900,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Clear transparent lenses.,1.6 index is a thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.6,1.6 index is a thinner material.,Pol,Grey,Polarize available in grey colour.,2100,-,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Polarize available in grey colour.,1.6 index is a thinner material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Tint,Any Colour,Can be tinted to any colour.,2500,2600,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Can be tinted to any colour.,1.67 index is an ultra thin material.
Custom Progressive Vision,Custom MF,"Plus, Minus","Full, Half, Rimless","Full, Half, Rimless",1.67,1.67 index is an ultra thin material.,Photo,Grey,Changes to grey in the sun and back to clear when indoor.,-,3000,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,These lenses are, ,Advanced progressive lenses that are good for medium to higher power addition by improving the reading area,Changes to grey in the sun and back to clear when indoor.,1.67 index is an ultra thin material.
